Location,Fees,Placement,Name
J&K,850000,5,Shri Mata Vaishno Devi University
J&K,300000,3,Government College of Engineering and Technology
J&K,470000,6,Islamic University of Science and Technology
J&K,870000,4.6,Model Institute of Engineering and Technology
J&K,370000,3.6,University of Jammu
H.P,2136000,6.5,Jaypee University of Information Technology
H.P,1796000,4.5,Shoolini University
H.P,1663000,8,Chitkara University Himachal Pradesh
H.P,526000,4,Jawaharlal Nehru Government Engineering College
H.P,405000,3,Rajiv Gandhi Government Engineering College
U.K,2766000,8,UPES Dehradun
U.K,1771000,7,Graphic Era University
U.K,1978000,6,DIT University
U.K,992000,5.5,Quantum University
U.K,486000,4,Bipin Tripathi Kumaon Institute of Technology
U.K,289000,4,Govind Ballabh Pant Institute of Engineering and Technology
U.K,1029000,5,Roorkee Institute of Technology
Punjab,1079000,13.5,Punjab Engineering College
Punjab,3103000,11,Thapar Institute of Engineering and Technology
Punjab,571000,8,University Institute of Engineering and Technology
Punjab,1816000,7,Lovely Professional University
Punjab,1606000,8,Chandigarh University
Punjab,1133000,6,CGC
Punjab,4600000,4.5,Guru Nanak Dev Engineering College
Haryana,623000,7,YMCA University of Science and Technology
Haryana,248000,5,Deenbandhu Chhotu Ram University of Science and Technology
Haryana,2634000,8,BML Munjal University
Haryana,2013000,5.5,The NorthCap University
Haryana,1040000,4,Panipat Institute of Engineering and Technology